geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001002201,"Census Tract 22.01, District of Columbia, DC",3736,362,3390,342,387,117,2807,306,23,28,94,55,0,12,0,12,79,61,0,12,79,61,346,188,56,56,29,34,0,12,0,12,0,12,237,196,24,29,0,12,24,29
14000US11001002202,"Census Tract 22.02, District of Columbia, DC",3965,499,2882,487,104,76,2639,483,0,12,63,105,0,12,36,61,40,37,0,12,40,37,1083,357,172,140,50,88,12,19,0,12,0,12,849,399,0,12,0,12,0,12
14000US11001002301,"Census Tract 23.01, District of Columbia, DC",3261,359,2844,301,717,181,1938,282,18,21,75,58,0,12,34,43,62,53,0,12,62,53,417,253,58,53,22,31,0,12,0,12,0,12,286,255,51,52,51,52,0,12
14000US11001002302,"Census Tract 23.02, District of Columbia, DC",1841,296,1825,297,682,233,1031,224,0,12,61,54,0,12,0,12,51,75,0,12,51,75,16,18,0,12,0,12,0,12,0,12,0,12,10,15,6,9,6,9,0,12
14000US11001002400,"Census Tract 24, District of Columbia, DC",4282,394,3355,404,756,151,2369,358,36,53,80,50,0,12,0,12,114,78,0,12,114,78,927,231,376,216,55,63,0,12,0,12,0,12,466,276,30,34,14,21,16,25
14000US11001002501,"Census Tract 25.01, District of Columbia, DC",2748,406,2197,329,607,116,1533,313,0,12,13,21,0,12,0,12,44,34,0,12,44,34,551,236,297,197,84,109,0,12,0,12,0,12,119,111,51,63,28,57,23,26
14000US11001002502,"Census Tract 25.02, District of Columbia, DC",6079,714,3992,530,1070,244,2635,505,14,24,135,81,0,17,42,40,96,66,16,25,80,59,2087,484,900,692,640,514,0,17,0,17,0,17,532,242,15,25,0,17,15,25
14000US11001002600,"Census Tract 26, District of Columbia, DC",2533,191,2333,213,984,137,1020,183,7,12,153,90,13,19,67,37,89,61,0,12,89,61,200,111,102,78,20,21,0,12,0,12,0,12,78,61,0,12,0,12,0,12
14000US11001002701,"Census Tract 27.01, District of Columbia, DC",5481,548,4346,542,3156,473,822,274,12,20,139,74,0,12,0,12,217,139,5,12,212,138,1135,434,836,360,0,12,23,36,0,12,0,12,213,267,63,81,0,12,63,81
14000US11001002702,"Census Tract 27.02, District of Columbia, DC",5855,599,4419,529,3039,475,1189,331,0,17,122,85,0,17,14,22,55,45,9,15,46,44,1436,567,800,355,225,243,0,17,15,24,0,17,347,305,49,56,28,44,21,35
14000US11001002801,"Census Tract 28.01, District of Columbia, DC",4393,467,2635,379,732,163,1648,374,0,12,160,148,0,12,0,12,95,67,0,12,95,67,1758,506,847,477,65,105,0,12,0,12,0,12,812,443,34,35,24,33,10,18
14000US11001002802,"Census Tract 28.02, District of Columbia, DC",5027,429,2743,358,1227,184,1204,301,0,12,221,83,0,12,17,25,74,48,10,15,64,48,2284,407,1464,406,32,38,0,12,0,12,0,12,749,357,39,31,35,30,4,8
14000US11001002900,"Census Tract 29, District of Columbia, DC",4868,497,3375,414,1692,160,1459,354,0,12,102,57,0,12,0,12,122,72,0,12,122,72,1493,333,582,237,70,113,8,15,0,12,0,12,808,355,25,38,0,12,25,38
14000US11001003000,"Census Tract 30, District of Columbia, DC",3660,368,3389,360,1411,239,1777,307,0,12,172,108,0,12,8,12,21,23,0,12,21,23,271,116,190,88,25,30,9,17,0,12,0,12,28,37,19,27,10,18,9,16
14000US11001003100,"Census Tract 31, District of Columbia, DC",3355,474,1963,288,854,208,959,234,0,12,99,68,0,12,24,37,27,24,0,12,27,24,1392,459,308,296,84,117,210,274,62,78,0,12,728,455,0,12,0,12,0,12
14000US11001003200,"Census Tract 32, District of Columbia, DC",4781,484,3450,394,691,204,2540,381,0,12,158,94,0,12,11,16,50,59,7,14,43,64,1331,354,921,323,104,99,20,30,0,12,0,12,277,175,9,13,0,12,9,13
14000US11001003301,"Census Tract 33.01, District of Columbia, DC",3436,422,3144,399,1432,277,1453,327,0,12,87,56,0,12,7,12,165,102,0,12,165,102,292,176,65,58,0,12,0,12,0,12,0,12,202,165,25,28,25,28,0,12
14000US11001003302,"Census Tract 33.02, District of Columbia, DC",2281,245,2079,196,722,139,1200,223,0,12,106,59,0,12,0,12,51,38,0,12,51,38,202,139,53,41,16,23,0,12,0,12,0,12,127,121,6,10,0,12,6,10
14000US11001003400,"Census Tract 34, District of Columbia, DC",4668,436,4160,430,1057,333,2864,488,6,9,99,69,0,17,0,17,134,67,23,39,111,59,508,311,80,81,256,265,0,17,0,17,0,17,150,152,22,25,8,13,14,22
14000US11001003500,"Census Tract 35, District of Columbia, DC",4959,608,4393,516,741,146,3310,480,0,12,216,162,31,48,18,22,77,60,0,12,77,60,566,436,365,393,19,28,0,12,0,12,0,12,152,198,30,31,17,25,13,18
14000US11001003600,"Census Tract 36, District of Columbia, DC",4713,522,4137,531,2165,327,1644,412,0,12,207,163,0,12,0,12,121,96,0,12,121,96,576,271,277,252,0,12,0,12,0,12,0,12,299,224,0,12,0,12,0,12
14000US11001003700,"Census Tract 37, District of Columbia, DC",5616,813,4300,588,1878,348,2108,596,15,25,217,134,0,17,0,17,82,70,0,17,82,70,1316,599,923,564,78,136,0,17,0,17,0,17,315,278,0,17,0,17,0,17
